Scope
Manufacturer	Model
kiloHearts	vst.ksrr.kHs Reverser
Note: Will match scope definitions for vst.ksrr.kHs Reverser or vst.ksrr

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Delay Time (ms)	0	4194304	Value	ValueOutput
Delay Time (steps)	0	4194304	Value	ValueOutput
Delay Denominator	0	4194304	Value	ValueOutput
Sync Mode	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Crossfade	0	4194304	Value	ValueOutput
Enabled	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
