Scope
Manufacturer	Model
Tracktion	vst.Phas.#TPhaser (64-bit)
Note: Will match scope definitions for vst.Phas.#TPhaser (64-bit) or vst.Phas

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Enable	0	4194304	Value	ValueOutput
Stages	0	4194304	Value	ValueOutput
Floor	0	4194304	Value	ValueOutput
Ceiling	0	4194304	Value	ValueOutput
Sync	0	4194304	Value	ValueOutput
Rate	0	4194304	Value	ValueOutput
Rate	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Wet	0	4194304	Value	ValueOutput
Dry	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
