Scope
Manufacturer	Model
Flux:: sound and picture development	vst.fxSt.StereoToolV3
Note: Will match scope definitions for vst.fxSt.StereoToolV3 or vst.fxSt

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Flux:: bypass	0	4194304	Value	ValueOutput
Morphing	0	4194304	Value	ValueOutput
Input Gain Left	0	4194304	Value	ValueOutput
Invert Phase Left	0	4194304	Value	ValueOutput
Pan Left	0	4194304	Value	ValueOutput
Input Gain Right	0	4194304	Value	ValueOutput
Invert Phase Right	0	4194304	Value	ValueOutput
Pan Right	0	4194304	Value	ValueOutput
Stereo Width	0	4194304	Value	ValueOutput
Stereo Pan	0	4194304	Value	ValueOutput
ToolTips Display time	0	4194304	Value	ValueOutput
Enable ToolTips	0	4194304	Value	ValueOutput
Morphing Automation	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
