Scope
Manufacturer	Model
Noise Engineering	us.noiseengineering.MI

Remotable	Min	Max	Input type	Output type
AT-DC	0	4194304	Value	ValueOutput
Bash	0	4194304	Value	ValueOutput
Pitch Octave	0	16	Value	ValueOutput
Pitch Semitone	0	22	Value	ValueOutput
Pitch Cent	0	198	Value	ValueOutput
Profundity	0	4194304	Value	ValueOutput
Mode	0	2	Value	ValueOutput
LPF	0	4194304	Value	ValueOutput
Smash	0	4194304	Value	ValueOutput
Polyphony	0	1	Toggle	ValueOutput
Volume	0	4194304	Value	ValueOutput
Saw-Mod	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Note LED	0	1	-	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
